CALDT,TDBID_1,TDASK_1
20141106,101.0703125,101.1015625
20141107,101.0703125,101.078125
20141110,101.0625,101.09375
20141112,101.0546875,101.0625
20141113,101.03125,101.0625
20141114,101.046875,101.0703125
20141117,101.0390625,101.0546875
20141118,101.0390625,101.0703125
20141119,101.03125,101.046875
20141120,101.03125,101.046875
20141121,101.03125,101.0625
20141124,101.03125,101.0546875
20141125,101.01953125,101.04296875
20141126,101,101.0234375
20141128,101.1953125,101.203125
20141201,101.1953125,101.203125
20141202,101.1875,101.1953125
20141203,101.1796875,101.1875
20141204,101.15625,101.171875
20141205,101.125,101.15625
20141208,101.125,101.1484375
20141209,101.109375,101.1328125
20141210,101.0859375,101.109375
20141211,101.09375,101.1015625
20141212,101.09375,101.1171875
20141215,101.0625,101.09375
20141216,101.0625,101.0703125
20141217,101.046875,101.0703125
20141218,101.03125,101.0625
20141219,100.9921875,101.0234375
20141222,100.984375,101
20141223,100.9921875,101.0078125
20141224,100.9921875,101.015625
20141226,100.96875,100.9921875
20141229,100.9921875,101.015625
20141230,101,101.03125
20141231,101.8046875,101.8125
20150102,101.796875,101.8046875
20150105,101.796875,101.8125
20150106,101.8046875,101.8125
20150107,101.8046875,101.8203125
20150108,101.8125,101.828125
20150109,101.828125,101.8515625
20150112,101.828125,101.8515625
20150113,101.8359375,101.859375
20150114,101.8359375,101.8671875
20150115,101.8515625,101.8671875
20150116,101.8203125,101.8359375
20150120,101.8046875,101.8125
20150121,101.8125,101.8203125
20150122,101.8046875,101.8203125
20150123,101.78125,101.8125
20150126,101.78125,101.8125
20150127,101.7890625,101.8046875
20150128,101.78125,101.7890625
20150129,101.765625,101.78125
20150130,101.7578125,101.7890625
20150202,101.78125,101.8046875
20150203,101.7578125,101.765625
20150204,101.7578125,101.7734375
20150205,101.75,101.7578125
20150206,101.65625,101.6875
20150209,101.671875,101.703125
20150210,101.6953125,101.703125
20150211,101.6796875,101.6953125
20150212,101.6875,101.703125
20150213,101.6796875,101.6875
20150217,101.671875,101.6796875
20150218,101.6796875,101.6875
20150219,101.6640625,101.6875
20150220,101.65625,101.6640625
20150223,101.6328125,101.6484375
20150224,101.6484375,101.65625
20150225,101.640625,101.65625
20150226,101.609375,101.625
20150227,102.3125,102.34375
20150302,102.3203125,102.328125
20150303,102.3046875,102.328125
20150304,102.3125,102.3359375
20150305,102.3046875,102.328125
20150306,102.25,102.2734375
20150309,102.25,102.28125
20150310,102.25,102.28125
20150311,102.2421875,102.265625
20150312,102.234375,102.25
20150313,102.2109375,102.2265625
20150316,102.1953125,102.21875
20150317,102.15625,102.1875
20150318,102.203125,102.2265625
20150319,102.171875,102.1953125
20150320,102.140625,102.1640625
20150323,102.1484375,102.1875
20150324,102.1640625,102.1796875
20150325,102.15625,102.171875
20150326,102.1484375,102.15625
20150327,102.1171875,102.1484375
20150330,102.1328125,102.1640625
20150331,102.0625,102.0703125
20150401,102.0625,102.0859375
20150402,102.0390625,102.0625
20150403,102.0625,102.09375
20150406,102.0625,102.078125
20150407,102.0625,102.0703125
20150408,102.0625,102.09375
20150409,102.0390625,102.0703125
20150410,102.0234375,102.046875
20150413,102.0078125,102.0390625
20150414,102.015625,102.046875
20150415,102.0390625,102.046875
20150416,102.0234375,102.046875
20150417,101.984375,102.015625
20150420,102,102.0234375
20150421,101.9921875,102.0234375
20150422,101.9765625,102
20150423,101.9921875,102.0078125
20150424,101.96875,102
20150427,101.9609375,101.9921875
20150428,101.9453125,101.953125
20150429,101.9609375,101.96875
20150430,102.3359375,102.3515625
20150501,102.296875,102.328125
20150504,102.3203125,102.3515625
20150505,102.3125,102.3359375
20150506,102.2890625,102.3203125
20150507,102.2890625,102.3046875
20150508,102.2734375,102.296875
20150511,102.25,102.2734375
20150512,102.2578125,102.265625
20150513,102.25,102.2734375
20150514,102.2578125,102.265625
20150515,102.2265625,102.2578125
20150518,102.21875,102.2421875
20150519,102.2109375,102.234375
20150520,102.21875,102.2421875
20150521,102.21875,102.2421875
20150522,102.15625,102.1953125
20150526,102.1640625,102.1875
20150527,102.15625,102.1875
20150528,102.140625,102.171875
20150529,102.9375,102.9765625
20150601,102.8984375,102.9375
20150602,102.8828125,102.921875
20150603,102.890625,102.921875
20150604,102.84375,102.8984375
20150605,102.8359375,102.875
20150608,102.8203125,102.8515625
20150609,102.796875,102.828125
20150610,102.7890625,102.796875
20150611,102.78125,102.7890625
20150612,102.75,102.7734375
20150615,102.7421875,102.7734375
20150616,102.7421875,102.765625
20150617,102.7421875,102.7578125
20150618,102.75,102.78125
20150619,102.75,102.765625
20150622,102.7109375,102.75
20150623,102.7265625,102.75
20150624,102.703125,102.71875
20150625,102.7109375,102.734375
20150626,102.6796875,102.6953125
20150629,102.625,102.6484375
20150630,102.8125,102.8984375
20150701,102.8984375,102.921875
20150702,102.875,102.90625
20150706,102.8671875,102.890625
20150707,102.8828125,102.9140625
20150708,102.8828125,102.90625
20150709,102.875,102.8984375
20150710,102.8359375,102.859375
20150713,102.796875,102.8203125
20150714,102.8125,102.8359375
20150715,102.8125,102.8359375
20150716,102.78125,102.8046875
20150717,102.7578125,102.78125
20150720,102.6953125,102.71875
20150721,102.703125,102.7421875
20150722,102.7265625,102.75
20150723,102.703125,102.7265625
20150724,102.6640625,102.6875
20150727,102.7109375,102.734375
20150728,102.6875,102.7109375
20150729,102.6875,102.7109375
20150730,102.65625,102.6796875
20150731,102.828125,102.859375
20150803,102.8359375,102.859375
20150804,102.796875,102.828125
20150805,102.7734375,102.796875
20150806,102.7890625,102.8125
20150807,102.7421875,102.7734375
20150810,102.734375,102.765625
20150811,102.7265625,102.75
20150812,102.7421875,102.765625
20150813,102.7109375,102.734375
20150814,102.6875,102.7109375
20150817,102.6796875,102.703125
20150818,102.65625,102.6875
20150819,102.6640625,102.6953125
20150820,102.6796875,102.703125
20150821,102.6640625,102.6875
20150824,102.6640625,102.6875
20150825,102.640625,102.6640625
20150826,102.625,102.6640625
20150827,102.6328125,102.65625
20150828,102.6015625,102.625
20150831,102.5234375,102.5546875
20150901,102.5390625,102.578125
20150902,102.5234375,102.5625
20150903,102.546875,102.578125
20150904,102.5,102.5234375
20150908,102.4609375,102.5
20150909,102.4765625,102.515625
20150910,102.46875,102.4765625
20150911,102.4375,102.46875
20150914,102.40625,102.4375
20150915,102.390625,102.421875
20150916,102.3203125,102.3828125
20150917,102.3671875,102.390625
20150918,102.421875,102.4453125
20150921,102.4140625,102.4375
20150922,102.4140625,102.4375
20150923,102.421875,102.453125
20150924,102.421875,102.453125
20150925,102.375,102.3984375
20150928,102.390625,102.4140625
20150929,102.390625,102.4140625
