CALDT,TDBID,TDASK
20140310,98.7421875,98.796875
20140311,98.8125,98.828125
20140312,98.9453125,98.9609375
20140313,99.2734375,99.3046875
20140314,99.1875,99.21875
20140317,99.03125,99.0625
20140318,99.125,99.15625
20140319,98.3828125,98.390625
20140320,98.3984375,98.421875
20140321,98.3828125,98.3984375
20140324,98.2421875,98.2734375
20140325,98.2421875,98.2734375
20140326,98.5390625,98.5703125
20140327,98.46875,98.5
20140328,98.296875,98.328125
20140331,97.5234375,97.5703125
20140401,97.4921875,97.5078125
20140402,97.1796875,97.2265625
20140403,97.140625,97.1875
20140404,97.609375,97.65625
20140407,97.7109375,97.765625
20140408,97.796875,97.8125
20140409,98.0078125,98.03125
20140410,98.171875,98.21875
20140411,98.25,98.265625
20140414,98.0703125,98.0859375
20140415,98.046875,98.0625
20140416,97.921875,97.9375
20140417,97.515625,97.5625
20140421,97.5859375,97.6015625
20140422,97.515625,97.546875
20140423,97.5390625,97.5859375
20140424,97.640625,97.6875
20140425,97.6875,97.71875
20140428,97.6328125,97.65625
20140429,97.671875,97.6875
20140430,97.953125,97.984375
20140501,98.0234375,98.0546875
20140502,98,98.03125
20140505,97.9375,97.953125
20140506,97.9453125,97.9609375
20140507,98.0703125,98.1171875
20140508,98.1875,98.234375
20140509,98.1796875,98.203125
20140512,98.0234375,98.046875
20140513,98.2421875,98.296875
20140514,98.4921875,98.515625
20140515,98.6796875,98.7109375
20140516,98.53125,98.5625
20140519,98.5859375,98.6171875
20140520,98.7578125,98.7890625
20140521,98.71875,98.7265625
20140522,98.625,98.6328125
20140523,98.7265625,98.7578125
20140527,98.7109375,98.71875
20140528,98.9296875,98.9375
20140529,98.796875,98.8125
20140530,97.9765625,98.0078125
20140602,97.7578125,97.765625
20140603,97.5234375,97.53125
20140604,97.515625,97.546875
20140605,97.609375,97.6171875
20140606,97.515625,97.546875
20140609,97.34375,97.3828125
20140610,97.203125,97.234375
20140611,97.265625,97.296875
20140612,97.3359375,97.375
20140613,97.28125,97.3125
20140616,97.2890625,97.3125
20140617,97.0390625,97.0546875
20140618,97.3984375,97.421875
20140619,97.3828125,97.3984375
20140620,97.3671875,97.375
20140623,97.2265625,97.2734375
20140624,97.421875,97.4453125
20140625,97.4921875,97.5
20140626,97.640625,97.6875
20140627,97.6796875,97.6953125
20140630,96.8984375,96.90625
20140701,96.7734375,96.7890625
20140702,96.5234375,96.5546875
20140703,96.421875,96.4765625
20140707,96.453125,96.4609375
20140708,96.640625,96.6484375
20140709,96.6875,96.71875
20140710,96.78125,96.796875
20140711,96.828125,96.8515625
20140714,96.6875,96.71875
20140715,96.609375,96.625
20140716,96.609375,96.6171875
20140717,96.9296875,96.9609375
20140718,96.7265625,96.734375
20140721,96.6875,96.6953125
20140722,96.8046875,96.8203125
20140723,96.84375,96.8515625
20140724,96.609375,96.6328125
20140725,96.7109375,96.7421875
20140728,96.578125,96.59375
20140729,96.6796875,96.6875
20140730,96.3671875,96.375
20140731,95.6796875,95.7109375
20140801,96.0859375,96.1171875
20140804,96.1640625,96.171875
20140805,96.1015625,96.109375
20140806,96.1796875,96.1953125
20140807,96.390625,96.4375
20140808,96.25,96.28125
20140811,96.3046875,96.3203125
20140812,96.265625,96.296875
20140813,96.46875,96.5
20140814,96.5078125,96.5234375
20140815,96.671875,96.703125
20140818,96.515625,96.5234375
20140819,96.4921875,96.5078125
20140820,96.25,96.28125
20140821,96.25,96.265625
20140822,96.1328125,96.1640625
20140825,96.109375,96.140625
20140826,96.140625,96.171875
20140827,96.265625,96.296875
20140828,96.3828125,96.3984375
20140829,96.8515625,96.8828125
20140902,96.578125,96.6171875
20140903,96.65625,96.6640625
20140904,96.46875,96.5
20140905,96.5703125,96.6015625
20140908,96.4609375,96.4921875
20140909,96.25,96.2578125
20140910,96.1328125,96.1484375
20140911,96.109375,96.140625
20140912,95.96875,96.03125
20140915,96.125,96.1484375
20140916,96.1875,96.203125
20140917,95.9375,95.96875
20140918,95.890625,95.9375
20140919,95.9765625,96.0078125
